INDEX,SEMS_ACTIVE_SITES.RG,SEMS_ACTIVE_SITES.SITE_ID,SEMS_ACTIVE_SITES.SITE_EPA_ID,SEMS_ACTIVE_SITES.SITE_NAME,SEMS_ACTIVE_SITES.SITE_STRT_ADRS1,SEMS_ACTIVE_SITES.SITE_STRT_ADRS2,SEMS_ACTIVE_SITES.SITE_CITY_NAME,SEMS_ACTIVE_SITES.SITE_STATE,SEMS_ACTIVE_SITES.SITE_ZIP_CODE,SEMS_ACTIVE_SITES.SITE_CONG_DISTRICT,SEMS_ACTIVE_SITES.SITE_CNTY_NAME,SEMS_ACTIVE_SITES.SITE_FIPS_CODE,FIPS_CODE,SEMS_ACTIVE_SITES.LATITUDE,SEMS_ACTIVE_SITES.LONGITUDE,SEMS_ACTIVE_SITES.ALT_AGREEMENT,SEMS_ACTIVE_SITES.NPL,SEMS_ACTIVE_SITES.FF,SEMS_ACTIVE_SITES.NON_NPL_STATUS
10211,10,1001913,AK0001413699,USDOI FWS AK MARITIME NWR: TANAGA ISLAND NAVAL STATION,65 MI W. OF ADAK NAVAL FACILITY,,ADAK,AK,99546,,ALEUTIAN ISLANDS,2010,02010,,,N,Not on the NPL,Y,"Other Cleanup Activity: Federal Facility-Lead Cleanup"
10213,10,1001930,AK0001451301,USDOI FWS AK MARITIME NWR: ATTU ISLAND,30 MI NW OF EARICKSON AFB,,SHEMYA,AK,99546,,ALEUTIANS WEST,2016,02016,,,N,Not on the NPL,Y,"Other Cleanup Activity: State-Lead Cleanup"
10220,10,1000106,AK0141190082,USDOI BLM KOGRU RIVER DEWLINE SITE,W SIDE OF HARRISON BAY,60 MI NW OF NUIQSUT,NUIQSUT,AK,99789,1,NORTH SLOPE,2185,02185,,,N,Not on the NPL,Y,"Other Cleanup Activity: State-Lead Cleanup"
10223,10,1000116,AK2570028652,USAF DEWLINE SITE POW-3:BULLEN POINT,"40 MI E OF PRUDHOE BAY, T10N R21E S32 UM",,PRUDHOE BAY,AK,99734,1,NORTH SLOPE,2185,02185,,,N,Not on the NPL,Y,"Other Cleanup Activity: State-Lead Cleanup"
10227,10,1000137,AK5570028618,USAF DEW LINE SITE BAR-MAIN: BARTER ISLAND,BARTER ISLAND ARCTIC NWR,,KAKTOVIK,AK,99747,1,NORTH SLOPE,2185,02185,,,N,Not on the NPL,Y,"Other Cleanup Activity: State-Lead Cleanup"
10229,10,1001476,AK6210890079,USDOI FWS AK MARITIME NWR: AMCHITKA ISLAND,51 32' 00 N 179 00' 00 E,,AMCHITKA,AK,99546,1,ALEUTIANS WEST,2016,02016,,,N,Not on the NPL,Y,"Other Cleanup Activity: State-Lead Cleanup"
10232,10,1000145,AK7141190085,USDOI BLM TANACROSS AIRFIELD,1 MI S OF TANACROSS ON AK HWY,,TANACROSS,AK,99776,1,SOUTHEAST FAIRBANKS,2240,02240,,,N,Not on the NPL,Y,"Fed Fac Site Inspection Review  Ongoing"
10233,10,1001454,AK8214522155,USARMY FORT GREELY,T11S R10E SEC2 FM,,FORT GREELY,AK,99737,1,SOUTHEAST FAIRBANKS,2240,02240,,,N,Not on the NPL,Y,"Other Cleanup Activity: State-Lead Cleanup"
10236,10,1001570,AK9143600196,USDOI FWS ARCTIC NWR: NUVAGAPAK DEWLINE SITE,35 MI E OF KAKTOVIK,,KAKTOVIK,AK,99747,1,NORTH SLOPE,2185,02185,,,N,Not on the NPL,Y,"Other Cleanup Activity: State-Lead Cleanup"
10238,10,1000164,AK9570028705,USAF EARECKSON AFS,SHEMYA ISL S SHORE,,SHEMYA,AK,99546,1,ALEUTIANS WEST,2016,02016,,,N,Not on the NPL,Y,"Other Cleanup Activity: State-Lead Cleanup"
10270,10,1003265,AKR000206813,"USDOT FAA STATION, KATALLA","VALDEZ-CORDOVA CENSUS AREA, 47 MILES SE OF CORDOVA",,KATALLA,AK,99574,,VALDEZ-CORDOVA,2261,02261,,,N,Not on the NPL,Y,"Fed Fac Preliminary Assessment Review Start Needed"
10289,10,1001705,ID6122300118,USDA FS BOISE NF: MISSOURI MINE,T8N R5E S27,,IDAHO CITY,ID,83631,1,BOISE,16015,16015,,,N,Not on the NPL,Y,"Fed Fac Preliminary Assessment Review Start Needed"
10290,10,1001465,ID8122307608,USDA FS SALMON NF:BLACKBIRD MINE,HIGHWAY 93 NW OF COBALT,,COBALT,ID,83229,2,LEMHI,16059,16059,,,N,Site is Part of NPL Site,Y,
10375,10,1001508,OR7122307658,FREMONT NATIONAL FOREST/WHITE KING AND LUCKY LASS URANIUM MINES (USDA),524 N G STREET,,LAKEVIEW,OR,97630,2,LAKE,41037,41037,42.336111,-120.541667,N,Currently on the Final NPL,Y,
10464,10,1002805,ORN001002805,USDA FS UMPQUA NF: CHAMPION MINE,T23S R1E SEC13,,COTTAGE GROVE,OR,97424,,LANE,41039,41039,,,N,Not on the NPL,Y,"Fed Fac Preliminary Assessment Review  Ongoing"
10493,10,1020093,ORN001020093,UMPQUA MINE,BLM Road 34 0,,DAYS CREEK,OR,97429,4,DOUGLAS,41019,41019,,,N,Not on the NPL,Y,"Removal Only Site (No Site Assessment Work Needed)"
10584,9,902817,GU0170027320,NAVAL AIR STA AGANA,NR ROUTE 16,,AGANA,GU,96910,1,GUAM,66010,66010,,,N,Not on the NPL,Y,"Other Cleanup Activity: Federal Facility-Lead Cleanup"
10585,9,902818,GU0170090005,NIMITZ HILL ANNEX,BORROW PIT DUMPSITE,,AGANA,GU,96910,1,GUAM,66010,66010,,,N,Not on the NPL,Y,"Fed Fac Site Inspection Review Start Needed"
10586,9,902821,GU2170090011,NAVAL FACIL GUAM,NAVAL FACILITY GUAM,,AGANA,GU,96910,1,GUAM,66010,66010,,,N,Not on the NPL,Y,"Status Not Specified"
10587,9,903448,GU4170027334,NAVAL SHIP REPAIR FACILITY - GUAM,NAVAL FACILITY,,AGANA,GU,96910,,GUAM,66010,66010,,,N,Not on the NPL,Y,"Fed Fac Site Inspection Review Start Needed"
10588,9,903203,GU5170090018,BARRIGADA VILLAGE ABNDONED DUMP,NAVAL COMMUNICATIONS STA,,BARRIGADA,GU,96913,1,GUAM,66010,66010,,,N,Not on the NPL,Y,"Fed Fac Preliminary Assessment Review Start Needed"
10589,9,902824,GU6170090009,NAVAL COMM AREA MASTER STA WEST PACIFIC,NAVCAMS WESTPAC,,AGANA,GU,96932,1,GUAM,66010,66010,,,N,Not on the NPL,Y,"Other Cleanup Activity: Federal Facility-Lead Cleanup"
10590,9,903672,GU6170090025,CAMP COVINGTON,APRA HARBOR NAVAL COMPLEX,,PITI,GU,96925,1,GUAM,66010,66010,,,N,Not on the NPL,Y,"Fed Fac Site Inspection Review Start Needed"
10591,9,902825,GU6571999519,ANDERSEN AIR FORCE BASE,PERIMETER RD,,YIGO,GU,96929,"1,98",GUAM,66010,66010,13.572916,144.897361,N,Currently on the Final NPL,Y,
10592,9,902826,GU7170027323,NAVAL STA GUAM,NAVY PUBLIC WORKS CTR,,AGANA,GU,96910,1,GUAM,66010,66010,,,N,Not on the NPL,Y,"Fed Fac Site Inspection Review Start Needed"
10593,9,902827,GU7170090008,APRA HARBOR NAVAL COMPLEX,APRA HARBOR NAVAL COMPLEX,,PITI,GU,96925,1,GUAM,66010,66010,,,N,Not on the NPL,Y,"Other Cleanup Activity: Federal Facility-Lead Cleanup"
10594,9,900376,GU7170090024,NAVAL REGIONAL DENTAL CENTER,APRA HARBOR NAVAL COMPLEX,,PITI,GU,96925,1,GUAM,66010,66010,,,N,Not on the NPL,Y,"Fed Fac Site Inspection Review Start Needed"
10595,9,903204,GU8170090015,FINEGAYAN HOUSING ABANDONED DUMP,NAV COMM CTR SOUTH  FINEGAYAN,,AGANA,GU,96932,1,GUAM,66010,66010,,,N,Not on the NPL,Y,"Fed Fac Preliminary Assessment Review Start Needed"
10596,9,903285,GU8170090023,NAVAL SUPPLY DEPOT,APRA HARBOR NAVAL COMPLEX,,PITI,GU,96925,1,GUAM,66010,66010,,,N,Not on the NPL,Y,"Fed Fac Site Inspection Review Start Needed"
10667,8,802165,UTN000802165,HURRICANE MESA TEST SITE,"TWO MILES WEST OF VIRGIN, UTAH",,VIRGIN,UT,84779,2,WASHINGTON,49053,49053,,,N,Not on the NPL,Y,"Other Cleanup Activity: Federal Facility-Lead Cleanup"
10692,8,802732,UTN000802732,HILL AFB MMRP BP504 POWDER BURNING PIT AT OU4,1000FT S OF PERIMETER RD AND BROWNING ST,,HILL AFB,UT,84056,1,DAVIS,49011,49011,,,N,Not on the NPL,Y,"Other Cleanup Activity: Federal Facility-Lead Cleanup"
10693,8,802733,UTN000802733,HILL AFB MMRP SR502 OUTDR SMLL ARM FIRING RGE (BLDG 741),300FT E OF PERIMETER RD AND SAGE ST,,HILL AFB,UT,84056,1,DAVIS,49011,49011,,,N,Not on the NPL,Y,"Other Cleanup Activity: Federal Facility-Lead Cleanup"
10694,8,802740,UTN000802740,HILL AFB MMRP DA503 MUNITIONS DUMP AT OU4,1000FT ENE BROWNING ST AND QUINCE ST,,HILL AFB,UT,84056,1,DAVIS,49011,49011,,,N,Not on the NPL,Y,"Other Cleanup Activity: Federal Facility-Lead Cleanup"
10796,7,703320,MON000703320,KANSAS CITY RECORDS CENTER,601- 607 HARDESTY,,KANSAS CITY,MO,64124,5,JACKSON,29095,29095,,,N,Not on the NPL,Y,"NFRAP-Site does not qualify for the NPL based on existing information"
10798,7,703408,MON000703408,GASCONADE BOAT YARD,LOCATED AT THE CONFLUENCE OF GASCONADE,MO RIVER,GASCONADE,MO,65036,9,GASCONADE,29073,29073,,,N,Not on the NPL,Y,"Fed Fac Preliminary Assessment Review  Ongoing"
10799,7,703432,MON000703432,AIR FORCE (EX) PLANT # 84,142 JAMES S. MCDONNELL BLVD,,HAZELWOOD,MO,63145,2,ST. LOUIS,29189,29189,,,N,Not on the NPL,Y,"NFRAP-Site does not qualify for the NPL based on existing information"
10966,7,704742,MON000704742,WAPPAPELLO - ARMY NATIONAL GUARD TRNG,HWY T,COUNTY ROAD  517,WAPPAPELLO,MO,63966,8,WAYNE,29223,29223,,,N,Not on the NPL,Y,"NFRAP-Site does not qualify for the NPL based on existing information"
10981,7,705519,MON000705519,"MARINE CORPS SUPPORT CENTER KANSAS CIT, MO",15303 ANDERWS ROAD,,KANSAS CITY,MO,64147,4,JACKSON,29095,29095,,,N,Not on the NPL,Y,"Addressed as Part of Another non-NPL Site"
10986,7,705786,MON000705786,OLD SAINT LOUIS BASE,FOOT OF IRON ST. & MISSISSIPPI RIVER,,ST LOUIS,MO,63111,1,ST. LOUIS CITY,29510,29510,,,N,Not on the NPL,Y,"NFRAP-Site does not qualify for the NPL based on existing information"
11011,9,908476,CAD981172422,SHIELDS AVENUE MAINTENANCE FACILITY,5575 E. SHIELDS AVENUE,,FRESNO,CA,93727,,FRESNO,6019,06019,,,N,Not on the NPL,Y,"Fed Fac Preliminary Assessment Review Start Needed"
11181,8,801762,WY0009138800,WARREN F.E. AFB ATLAS D MISSILE SITE # 1,FIFTEEN MILES NORTHWEST OF CHEYENNE,"TOWNSHIP: 16N, RANGE: 68W, SECTION: 11",CHEYENNE,WY,82009,1,LARAMIE,56021,56021,,,N,Not on the NPL,Y,"Other Cleanup Activity: Federal Facility-Lead Cleanup"
11182,8,801763,WY0009138928,WARREN F.E. AFB ATLAS D MISSILE SITE # 2,TWENTY FIVE MILES NORTHEAST OF CHEYENNE ,"TOWNSHIP: 17N, RANGE: 65W, SECTION: 34",CHEYENNE,WY,82009,1,LARAMIE,56021,56021,,,N,Not on the NPL,Y,"Other Cleanup Activity: Federal Facility-Lead Cleanup"
11183,8,801764,WY0009138938,WARREN F.E. AFB ATLAS D MISSILE SITE # 3,NINE MILES SOUTH OF HILLSDALE,"TOWNSHIP: 13N, RANGE: 64W, SECTION: 14",HILLSDALE,WY,82060,1,LARAMIE,56021,56021,,,N,Not on the NPL,Y,"Other Cleanup Activity: Federal Facility-Lead Cleanup"
11184,8,801765,WY0009138948,WARREN F.E. AFB ATLAS D MISSILE SITE # 4,TWO AND 1/2 MILES SOUTHEAST OF GRANITE,"TOWNSHIP: 13N, RANGE: 64W, SECTION: 20",GRANITE CANON,WY,82059,1,LARAMIE,56021,56021,,,N,Not on the NPL,Y,"Other Cleanup Activity: Federal Facility-Lead Cleanup"
11186,8,801767,WY0009138968,WARREN F.E. AFB ATLAS E MISSILE SITE # 6,"3680 HWY 85, TWO MILES NE OF MERIDAN","TOWNSHIP: 18N, RANGE: 62W, SECTION: 3 ",MERIDEN,WY,82081,1,LARAMIE,56021,56021,,,N,Not on the NPL,Y,"Other Cleanup Activity: Federal Facility-Lead Cleanup"
11187,8,801768,WY0009138978,WARREN F.E. AFB ATLAS E MISSILE SITE # 7,1501 COUNTY ROAD 215 ,TWO MILES NORTH OF PINE BLUFFS,PINE BLUFFS,WY,82082,1,LARAMIE,56021,56021,,,N,Not on the NPL,Y,"Other Cleanup Activity: Federal Facility-Lead Cleanup"
11292,7,702014,NE0211890033,NAD BURN PIT/YARD DUMP AREA,SEC 6 T6N R8W,,GLENVIL TOWNSHIP,NE,68941,3,CLAY,31035,31035,,,N,Site is Part of NPL Site,Y,
11296,7,702018,NE2120519606,HRUSKA MEAT ANIMAL RESEARCH CENTER,"P.O. BOX 166, STATE SPUR 18D ",,CLAY CENTER,NE,68933,3,CLAY,31035,31035,,,N,Site is Part of NPL Site,Y,
11311,8,801778,WY0009332184,POLE MOUNTAIN FORMER TARGET AND MANEUVER AREA,SEVEN MILES EAST OF LARAMIE,"T: 14 & 15 N, R: 71 & 72 W, S: 100",LARAMIE,WY,82070,1,ALBANY,56001,56001,,,N,Not on the NPL,Y,"Fed Fac Site Inspection Review Start Needed"
11312,8,800017,WY5571924179,F.E. WARREN AIR FORCE BASE,I-25 AND RANDALL AVE.,90TH SUPPORT GROUP/DEV BLD 320,CHEYENNE,WY,82005,1,LARAMIE,56021,56021,41.152742,-104.862334,N,Currently on the Final NPL,Y,
11320,8,802241,WYN000802241,FT. F.E. WARREN TARGET AND MANEUVER RANGE,NW Side of F.E. Warren Air Force Base,,CHEYENNE,WY,82001,1,LARAMIE,56021,56021,,,N,Not on the NPL,Y,"Other Cleanup Activity: Federal Facility-Lead Cleanup"
11329,8,802847,WYN000802847,WYOMING ARMY NG MRS PGM,3919 CENTRAL AVENUE,,CHEYENNE,WY,82001,1,LARAMIE,56021,56021,,,N,Not on the NPL,Y,"Other Cleanup Activity: Federal Facility-Lead Cleanup"
11445,7,700032,NED986366219,NAD (EX) SEWAGE TREATMENT PLANT,SE 1/4 OF SE 1/4 OF SEC 9,,GLENVIL TOWNSHIP,NE,68941,3,CLAY,31035,31035,,,N,Site is Part of NPL Site,Y,
11769,8,801579,CO0001766286,BLM-SAGUACHE MILLE SITE,2 MILES NW OF TOWN ON SAGUACHE,,SAGUACHE,CO,81155,3,SAGUACHE,8109,08109,,,N,Not on the NPL,Y,"Fed Fac Preliminary Assessment Review Start Needed"
11780,8,801773,CO0009139026,WARREN F.E. AFB ATLAS E MISSILE SITE # 13,6707 MCMURRY RANCH ROAD,3 1/2 MILES  NORTH NORTHWEST OF BELLVUE,BELLVUE,CO,80512-7213,4,LARIMER,8069,08069,,,N,Not on the NPL,Y,"Other Cleanup Activity: Federal Facility-Lead Cleanup"
11882,6,605413,TXP490351634,DEPARTMENT OF VETERANS AFFAIRS - KERRVILLE,3600 Memorial Blvd,,KERRVILLE,TX,78028,,KERR,48265,48265,,,N,Not on the NPL,Y,"Fed Fac Preliminary Assessment Review Start Needed"
11911,8,800352,CO2210020150,"HQ FORT CARSON, 7TH ID DECAM",801 TEVIS STREET BLDG. 302,DFAE BLDG 304 AFZC-FE-EQ,FORT CARSON,CO,80913,5,EL PASO,8041,08041,,,N,Not on the NPL,Y,"Assessment Complete - Decision Needed"
11918,8,800362,CO8572924928,US AIR FORCE ACADEMY,8120 EDGERTON DR.,,COLORADO SPRINGS,CO,80840,5,EL PASO,8041,08041,,,N,Not on the NPL,Y,"Fed Fac Site Inspection Review  Ongoing"
11920,8,800364,CO9571924191,PETERSON AIR FORCE BASE,All Buildings on Base,,COLORADO SPRINGS,CO,80914,5,EL PASO,8041,08041,,,N,Not on the NPL,Y,"Status Not Specified"
11921,8,800365,CO9890031876,ANVIL POINTS,7 MI W OF RIFLE,,RIFLE,CO,81650,3,GARFIELD,8045,08045,,,N,Not on the NPL,Y,"NFRAP-Site does not qualify for the NPL based on existing information"
11983,9,905030,CA0000362350,SALTON SEA TEST BASE,HWY 86,,SALTON CITY,CA,92275,37,IMPERIAL,6025,06025,,,N,Not on the NPL,Y,"Fed Fac Preliminary Assessment Review Start Needed"
12097,8,802449,CON000802449,EUGENIA MINE,"6 MILES NORTH OF ALLENSPARK, CO",,ALLENSPARK,CO,80510,2,LARIMER,8069,08069,,,N,Not on the NPL,Y,"PA Start Needed"
12207,7,704946,IAN000704946,"NAVAL RESERVE STATION, DUBUQUE",10685 JET CENTER DRIVE,,DUBUQUE,IA,52003,1,DUBUQUE,19061,19061,,,N,Not on the NPL,Y,"NFRAP-Site does not qualify for the NPL based on existing information"
12233,8,802562,CON000802562,SHRIEVER AFS TRANSFORMER STORAGE AREA,500 Navstar Street,,COLORADO SPRINGS,CO,80912,5,EL PASO,8041,08041,,,N,Not on the NPL,Y,"Fed Fac Preliminary Assessment Review Start Needed"
12254,8,802782,CON000802782,MANITOU NATURAL SPRINGS,APPROX 7 MI N FROM FOREST DEV ROAD 300,"T13S, R67W, SECTION 29",COLORADO SPRINGS,CO,80829,5,EL PASO,8041,08041,,,N,Not on the NPL,Y,"NFRAP-Site does not qualify for the NPL based on existing information"
12282,9,905386,CA0002321073,MENDOCINO NATIONAL FOREST - EEL RIVER SUMP,"T.23 N., R. 11 W., NE 1/4 OF SECTION 28 ",(MOUNT DIABLO BASELINE AND MERIDIAN),WILLITS,CA,95490,,MENDOCINO,6045,06045,,,N,Not on the NPL,Y,"Fed Fac Preliminary Assessment Review Start Needed"
12297,9,902717,CA0572825909,CALIFORNIA AIR NATIONAL GUARD FRESNO,5425 E MCKINLEY,,FRESNO,CA,93727-2199,15,FRESNO,6019,06019,,,N,Not on the NPL,Y,"Site Reassessment Start Needed"
12350,7,700732,KS0213820467,KANSAS ARMY AMMUNITION PLANT,3 MI E OF PARSONS,,PARSONS,KS,67357,2,LABETTE,20099,20099,,,N,Not on the NPL,Y,"Deferred to RCRA (Subtitle C)"
12425,8,802557,MT0142390046,USBR YELLOWTAIL DAM AND POWER PLANT,Yellowtail Field Branch 2 Avenue B,,FORT SMITH,MT,59035,1,BIG HORN,30003,30003,,,N,Not on the NPL,Y,"Fed Fac Preliminary Assessment Review Start Needed"
12441,9,902733,CA2170024382,STOCKTON NAVAL COMMUNICATION STA,ROUGH & READY ISL,,STOCKTON,CA,95203,14,SAN JOAQUIN,6077,06077,,,N,Not on the NPL,Y,"Deferred to RCRA (Subtitle C)"
12448,9,902742,CA2890090002,LAWRENCE LIVERMORE NATL LAB (SITE 300) (USDOE),CORRAL HOLLOW ROAD,,TRACY,CA,95376,"10,15",SAN JOAQUIN,6077,06077,37.644306,-121.576667,N,Currently on the Final NPL,Y,
12551,8,802558,MT9140090052,GRANT-KOHRS RANCH,1/4 Mile North of Deer Lodge,,DEER LODGE,MT,59722,1,DEER LODGE,30023,30023,,,N,Not on the NPL,Y,"Fed Fac Preliminary Assessment Review Start Needed"
12592,9,902762,CA4971520834,TRACY DEFENSE DEPOT (USARMY),CHRISMAN RD,,TRACY,CA,95376,"10,11",SAN JOAQUIN,6077,06077,37.715281,-121.3911,N,Currently on the Final NPL,Y,
12625,9,902792,CA8210020832,SHARPE ARMY DEPOT,700 EAST ROTH RD,,LATHROP,CA,95330,"09,11",SAN JOAQUIN,6077,06077,37.829169,-121.2672,N,Currently on the Final NPL,Y,
12701,7,701737,MO0210090056,WELDON SPRING - EX ARMY ORDNANCE PLANT,HWY 94 EX ARMY PLANT,,ST CHARLES,MO,63301,2,ST. CHARLES,29183,29183,,,N,Site is Part of NPL Site,Y,
12702,7,701738,MO0470000530,GENERAL SERVICES ADMINISTN - KANSAS CITY,1500 BANNISTER RD,,KANSAS CITY,MO,64131,5,JACKSON,29095,29095,,,N,Not on the NPL,Y,"Deferred to RCRA (Subtitle C)"
12703,7,701746,MO2210090005,WELDON SPRINGS - RAFFINATE PITS,ST HWY 94,,ST CHARLES,MO,63301,2,ST. CHARLES,29183,29183,,,N,Site is Part of NPL Site,Y,
12704,7,701747,MO2210090054,LAKE CITY AAP - 139 W CENTRAL PORTION,139 W CENTRAL PORTION HWY 78,,INDEPENDENCE,MO,64050,4,JACKSON,29095,29095,,,N,Site is Part of NPL Site,Y,
12705,7,701753,MO3210090004,WELDON SPRING QUARRY/PLANT/PITS (USDOE/ARMY),25 MI W OF ST LOUIS,,ST. CHARLES,MO,63301,9,ST. CHARLES,29183,29183,38.696944,-90.724999,N,Currently on the Final NPL,Y,
12706,7,701754,MO3210090038,HANLEY AREA #2  - (SLOP),NATURAL BRIDGE AVE & GOODFELLOW BLVD,,ST LOUIS,MO,63120,1,ST. LOUIS,29189,29189,,,N,Not on the NPL,Y,"Addressed as Part of Another non-NPL Site"
12707,7,701755,MO3210090053,LAKE CITY AAP - 85 N S CENTRAL PORTION,85 N S CENTRAL PORTION HWY 78,,INDEPENDENCE,MO,64050,4,JACKSON,29095,29095,,,N,Site is Part of NPL Site,Y,
12831,7,701757,MO3213890012,LAKE CITY ARMY AMMUNITION PLANT (NORTHWEST LAGOON),JCT OF HWY 7 & HWY 78,,INDEPENDENCE,MO,64050,5,JACKSON,29095,29095,39.103,-94.2783,N,Currently on the Final NPL,Y,
12832,7,701763,MO4210021222,ST LOUIS (EX) ARMY AMMUNITION PLANT,4800 GOODFELLOW BLVD,,ST LOUIS,MO,63120,1,ST. LOUIS,29189,29189,,,N,Not on the NPL,Y,"NFRAP-Site does not qualify for the NPL based on existing information"
12835,7,701766,MO4210090052,LAKE CITY AAP - 65 W CENTRAL PORTION,65 W CENTRAL PORTION HWY 7 & 78,,INDEPENDENCE,MO,64050,4,JACKSON,29095,29095,,,N,Site is Part of NPL Site,Y,
12836,7,701767,MO4213820489,LAKE CITY AAP - HWY 7 & 78,JCT OF MO HWY 7 & HWY 78,,INDEPENDENCE,MO,64050,4,JACKSON,29095,29095,,,N,Site is Part of NPL Site,Y,
12837,7,701769,MO4570090023,DEFENSE MAPPING - 2ND ST.,3200 S 2ND ST,,ST LOUIS,MO,63118-3304,1,ST. LOUIS,29189,29189,,,N,Not on the NPL,Y,"NFRAP-Site does not qualify for the NPL based on existing information"
12838,7,701773,MO5210021288,WELDON SPRING FORMER ARMY ORDNANCE WORKS,ST HWY 94 2 MI S US 40,,ST. CHARLES,MO,63301,9,ST. CHARLES,29183,29183,38.696389,-90.729161,N,Currently on the Final NPL,Y,
12839,7,701777,MO6210022830,WELDON SPRINGS CHEMICAL PLANT,HWY 94 2 MI S US 40,,ST CHARLES,MO,63301,9,ST. CHARLES,29183,29183,,,N,Site is Part of NPL Site,Y,
12840,7,701778,MO6210490037,JOB  CORPS CENTER - ST LOUIS,E NATURAL BRIDGE AVE & GOODFELLOW BLVD,,ST LOUIS,MO,63120,1,ST. LOUIS,29189,29189,,,N,Not on the NPL,Y,"Addressed as Part of Another non-NPL Site"
12841,7,702704,MO7170090065,US MARINE CORPS,10810 NATURAL BRIDGE RD,,BRIDGETON,MO,63044-2314,1,ST. LOUIS,29189,29189,,,N,Not on the NPL,Y,"NFRAP-Site does not qualify for the NPL based on existing information"
12842,7,701783,MO7210090034,US ARMY PUBLICATION CENTER,1655 WOODSON RD,,OVERLAND,MO,63114,1,ST. LOUIS,29189,29189,,,N,Not on the NPL,Y,"Addressed as Part of Another non-NPL Site"
12844,7,701786,MO8210022465,ST LOUIS (EX) ORDNANCE PLANT,4300 GOODFELLOW BLVD,,ST LOUIS,MO,63120,1,ST. LOUIS,29189,29189,,,N,Not on the NPL,Y,"NFRAP-Site does not qualify for the NPL based on existing information"
12848,7,701794,MO9890010524,DOE KANSAS CITY PLANT - BENDIX,200 E 95TH ST,,KANSAS CITY,MO,64114,5,JACKSON,29095,29095,,,N,Not on the NPL,Y,"Deferred to RCRA (Subtitle C)"
12874,8,801657,SD0002334852,BLACK HILLS ARMY DEPOT,FALL RIVER COUNTY,"TOWNSHIP: 10 S, RANGE: 2 E, SECTION: 18",PROVO,SD,57774,1,FALL RIVER,46047,46047,,,N,Not on the NPL,Y,"Deferred to NRC"
